sp_id	latitude	longitude	elevation
514265741	41.1902339	-79.3676738	179.056390
514402646	41.4317118	-78.7416280	135.681826
514270578	41.0975319	-78.8622880	152.473711
514265933	41.1901449	-79.3970548	184.091964
514268461	40.9125519	-79.0004780	0.000000
513935092	40.6578320	-79.3205079	131.542817
513933820	40.6066790	-79.1879949	94.325259
514567179	42.1271717	-80.0788575	215.246589
514271525	41.1336318	-78.7614380	0.000000
514267835	40.9952349	-78.9965130	205.289935
517693097	44.2614918	-88.4102748	154.877952
514271732	40.9930089	-78.5116791	171.335243
514269870	41.1142459	-78.7756840	193.323885
513500049	40.1041361	-79.5849408	0.000000
514268315	41.2304618	-79.0662979	157.551114
514269982	41.1186009	-78.7623690	191.034819
514269367	40.9523319	-78.9617180	156.300663
513937040	40.8151919	-79.5186478	173.660275
513932845	40.6168240	-79.1593419	0.000000
514265802	41.2106539	-79.3684168	194.388325
514268778	40.9189439	-78.9496450	159.329422
513931006	40.3527520	-78.9378080	161.097452
514270472	41.1448418	-78.8000380	204.900084
513914691	40.7847719	-77.8470083	161.019408
514269296	40.9336519	-78.9722080	180.582499
514268536	40.9408519	-78.9931880	154.591345
514270241	41.2471718	-78.7871080	192.854634
514268332	41.1670519	-79.0970679	207.014742
514271048	41.1205778	-78.7463430	128.623433
514269370	40.9558319	-78.9529380	0.000000
514265965	41.2001319	-79.3899648	0.000000
513929415	40.6435489	-78.8456610	217.760672
514268452	40.9461519	-78.9941980	120.452895
514265825	41.2156049	-79.3841738	0.000000
513919914	40.6762319	-78.2362482	168.819479
513991798	40.4395020	-80.0042877	164.425630
514399968	41.4280188	-78.5325311	143.088590
514267791	41.1530679	-79.0966439	146.950083
514268255	41.1738119	-79.0989879	0.000000
513937897	40.8156319	-79.5656178	165.110312
513575200	40.2495019	-76.6789587	182.752497
514266314	41.2002619	-79.3715578	164.119309
514268030	41.1685819	-79.0963679	165.106610
513936336	40.8136719	-79.5205218	170.537044
514269092	41.1252819	-78.9712780	128.196579
514270320	41.1045719	-78.7717380	232.504799
514269079	41.2181018	-78.9698979	197.069411
514267897	40.9722569	-79.1038489	0.000000
514270000	41.1206948	-78.7629480	181.793074
514271139	41.1142818	-78.7362600	171.444400
514271238	41.1287888	-78.7453880	0.000000
514269096	41.2029818	-78.9770479	188.311210
514269718	41.2483308	-78.8087410	157.395571
514269882	41.1177489	-78.7633490	133.365636
514270880	41.1174268	-78.7316070	168.675950
505890102	39.7316525	-86.2162359	0.000000
514269607	41.1825618	-78.9002480	183.055235
514269645	41.2480258	-78.7927740	154.873019
514270759	41.1184948	-78.7622550	169.843858
514269228	40.9382719	-78.9619080	254.297535
513577163	40.2743819	-76.6586487	160.793291
514270445	41.1142519	-78.7724580	158.254301
513928352	40.8122846	-78.7911939	174.717419
514265854	41.2121359	-79.3942398	163.968631
514272643	41.0293559	-78.4121951	0.000000
514271407	41.1141219	-78.7375180	177.999871
513925989	40.4744520	-78.4237382	181.074677
514266652	41.2068829	-79.3636178	98.702056
514266777	41.0064839	-79.3140459	127.528661
514273565	41.0226219	-78.3991281	213.235504
514268964	41.1659128	-78.8947650	157.830187
514269782	41.1222598	-78.7726940	138.564729
514269088	41.1160019	-78.9740780	142.174372
513931460	40.6229010	-79.1529589	186.214328
513551849	40.2650739	-76.8856257	0.000000
514269942	41.1110419	-78.7772460	175.296184
513927056	40.6296019	-78.6500081	124.331149
514270993	41.1577318	-78.7159570	217.507250
513516271	40.2861120	-78.8358181	159.972304
512905149	34.9230432	-81.0230577	133.426963
514268936	41.1834868	-78.8932210	200.701772
514271093	41.1286568	-78.7410930	104.660883
514266445	41.1978319	-79.3908578	117.812292
511583437	40.8349617	-74.0192295	0.000000
514266295	41.2154119	-79.3832778	145.050333
514271441	41.1487818	-78.7568380	222.719768
514268549	40.9636719	-79.0078880	171.422761
514269192	40.9729219	-78.9615980	113.686872
514265767	41.1968259	-79.3908608	0.000000
514270520	41.1413218	-78.8040980	140.006331
514270356	41.1079419	-78.7775780	137.818693
514270289	41.1245718	-78.7659580	96.824361
513560322	40.2672019	-76.8275087	173.672210
514268389	41.0858619	-79.1130079	161.423785
514402408	41.4224218	-78.7351580	274.337387
514272539	41.4006618	-78.5592681	223.928742
514270577	41.1580318	-78.8649380	182.572610
514253859	40.9737859	-80.3745545	0.000000
514269538	41.1049419	-78.8927380	209.224487
514269474	41.2229118	-78.9496080	0.000000
514269105	41.2058018	-78.9675179	0.000000
514270364	41.1247818	-78.7733880	172.840118
514267009	41.2177249	-79.2985548	0.000000
514269175	40.9375419	-78.9208180	0.000000
514269344	40.9426819	-78.8959380	142.070158
509565710	43.8653822	-93.3678534	182.424427
513916193	40.7648029	-77.8808553	223.628598
514268433	40.9227719	-79.0832879	0.000000
514271494	41.1234518	-78.7510580	135.164269
513938619	40.8152169	-79.5664258	193.506931
514269272	40.9450719	-78.9693880	103.559859
514269208	40.9433119	-78.9708480	186.468063
514271486	41.1162718	-78.7351880	189.931941
514270340	41.1149119	-78.7751480	120.793203
514268151	41.1643919	-79.0688379	553.303714
514270219	41.2507418	-78.7976480	0.000000
514271482	41.0964719	-78.7440080	162.571078
514270991	41.1194138	-78.7597470	220.771310
514268284	41.1605519	-79.0781779	0.000000
514268671	41.2118848	-78.9588509	0.000000
