sp_id	gq_type	stcotrbg	persons	latitude	longitude	elevation
450004650	C	420659512002	148	40.9473968	-78.9880843	159.356163
450004651	C	420659513002	20	40.9420132	-78.9714095	172.970018
450008460	P	420659506001	79	41.1681764	-79.0548788	150.853317
450022046	P	420659506001	17	41.1623427	-79.0117065	193.235378
450030495	N	420659505002	141	41.1537000	-79.0954820	177.048969
450030496	N	420659506001	189	41.1627710	-79.0569700	167.734737
450036345	N	420659513002	34	40.9441434	-78.9686968	167.734737
450040313	N	420659501002	45	41.2459890	-78.7875650	152.839192
450042411	N	420659513002	33	40.9427010	-78.9768570	156.411493
450047487	N	420659503001	18	41.1977398	-78.8344733	172.637718
