sp_id	stco	latitude	longitude	elevation
450111632	42065	41.0901960	-78.8843810	122.238117
450110845	42065	41.1672280	-79.0858440	121.296234
450057407	42063	40.7618373	-78.8775199	126.567129
450132458	42065	40.9493530	-78.9683610	0.000000
450063600	25027	0.0000000	0.0000000	155.951325
450066817	42063	40.6215091	-79.1521905	186.464686
450151186	42063	40.7027170	-79.1005970	189.136876
450108468	42065	40.9471690	-78.9236900	115.836224
450129160	42065	41.1673130	-79.0859240	227.854320
450120306	42053	41.4726260	-79.1218720	159.373812
450139177	42065	40.9580010	-79.0641410	207.955735
450102519	42003	40.4687700	-79.9178470	162.323817
450145390	42065	41.1632040	-79.0809040	200.222929
450150577	42065	40.9499560	-78.9787870	171.388194
450147805	42065	41.0013780	-78.9634530	129.317677
450134109	42031	41.2301160	-79.5329670	178.266108
450110702	42065	41.2508290	-78.8031850	0.000000
450054184	42033	41.1165292	-78.7356095	157.989068
450067304	25025	0.0000000	0.0000000	104.232885
450067582	42065	40.9430657	-78.9847580	146.336292
450054192	42033	41.1463692	-78.7857048	482.873928
450110701	42065	41.2520200	-78.8085750	214.727700
450149079	42065	41.1489790	-79.0272830	163.793573
450066968	23015	0.0000000	0.0000000	249.261137
450132231	42065	41.1109980	-78.8935810	428.843243
450150578	42065	40.9643550	-78.9792590	189.136876
451020493	42065	41.0935516	-78.8866730	176.591842
451073192	42065	41.2515907	-78.8087540	176.591842
